well,formation,tvd_scs_m,gross_thickness_m,net_pay_m,porosity_pct,permeability_md,sw_pct,fluid,x_m,y_m
X1,Balakhany_VIII,2100,24,18,19,120,28,OIL,0,0
X1,Balakhany_VIII,2140,20,15,18,95,31,OIL,0,0
X1,Balakhany_VIII,2180,18,12,17,70,43,OIL_WATER,0,0
X1,Balakhany_VIII,2220,16,9,15,45,68,WATER,0,0
X2,Balakhany_VIII,2085,25,19,21,160,24,OIL,900,300
X2,Balakhany_VIII,2125,22,17,20,130,29,OIL,900,300
X2,Balakhany_VIII,2165,20,14,18,90,47,OIL_WATER,900,300
X2,Balakhany_VIII,2205,17,10,16,55,72,WATER,900,300
X3,Balakhany_VIII,2110,22,16,18,105,30,OIL,1800,-200
X3,Balakhany_VIII,2150,20,14,17,82,35,OIL,1800,-200
X3,Balakhany_VIII,2190,18,11,16,60,55,OIL_WATER,1800,-200
X3,Balakhany_VIII,2230,15,8,14,40,75,WATER,1800,-200
X4,Balakhany_VIII,2075,26,20,22,190,22,OIL,2700,500
X4,Balakhany_VIII,2115,22,17,20,150,27,OIL,2700,500
X4,Balakhany_VIII,2155,19,13,18,100,44,OIL_WATER,2700,500
X4,Balakhany_VIII,2195,17,9,15,52,70,WATER,2700,500
X5,Balakhany_VIII,2130,23,16,19,115,26,OIL,3600,-350
X5,Balakhany_VIII,2170,21,15,18,92,30,OIL,3600,-350
X5,Balakhany_VIII,2210,18,12,16,65,49,OIL_WATER,3600,-350
X5,Balakhany_VIII,2250,16,8,14,38,78,WATER,3600,-350
